;0;1;2;3;4;5;6;7;8;9;10;11
nocturna_Punta;322.103;229.206;226.728;174.308;117.566;126.733;150.254;116.541;111.697;112.229;183.508;240.38
nocturna_Llana;362.035;254.732;245.625;194.72299999999998;139.056;142.177;180.843;126.885;133.965;116.7;174.343;239.635
nocturna_Valle;731.709;422.647;379.702;336.735;262.845;257.852;385.194;216.702;215.433;237.383;320.024;410.337
14h_Promocionadas;749.434;480.052;408.902;374.018;257.238;260.875;384.986;251.329;244.826;248.483;350.928;429.876
14h_No promocionadas;666.413;426.533;443.153;331.748;262.229;265.887;331.305;208.799;216.269;217.829;326.947;460.476
6h_Promocionadas;251.268;151.066;137.981;130.435;94.526;92.67699999999999;141.531;91.675;86.851;85.146;115.592;128.862
6h_No promocionadas;1164.579;755.519;714.074;575.331;424.941;434.085;574.76;368.453;374.244;381.166;562.283;761.49
16h_Promocionadas;925.7620000000001;579.322;517.921;427.352;301.122;315.681;478.648;297.018;283.928;283.854;407.094;548.446
16h_No promocionadas;490.085;327.263;334.134;278.414;218.345;211.081;237.643;163.11;177.167;182.458;270.781;341.906
