;Month;Hour;Energy_consumption;Energy_production
0;1;0;2.7625806451612904;0.0
1;1;1;2.05558064516129;0.0
2;1;2;1.3654193548387097;0.0
3;1;3;1.1689032258064516;0.0
4;1;4;1.1873548387096775;0.0
5;1;5;1.1612258064516128;0.0
6;1;6;1.1669354838709676;0.0
7;1;7;1.2832903225806451;0.0
8;1;8;1.2765161290322582;0.46503225806451615
9;1;9;1.5653548387096774;1.0762903225806453
10;1;10;1.8533548387096774;1.444258064516129
11;1;11;1.7638709677419355;1.6644193548387096
12;1;12;1.8819354838709677;1.7918064516129033
13;1;13;1.9633870967741935;1.6849032258064516
14;1;14;2.1790645161290323;1.4338709677419357
15;1;15;2.2637741935483873;1.124483870967742
16;1;16;2.338451612903226;0.4983870967741935
17;1;17;2.213225806451613;0.0003225806451612903
18;1;18;2.102516129032258;0.0
19;1;19;2.075290322580645;0.0
20;1;20;2.1469032258064518;0.0
21;1;21;2.3326451612903223;0.0
22;1;22;2.7878064516129033;0.0
23;1;23;2.7770967741935486;0.0
24;2;0;2.0515;0.0
25;2;1;1.3747857142857143;0.0
26;2;2;0.9626785714285714;0.0
27;2;3;0.8002857142857144;0.0
28;2;4;0.7306071428571429;0.0
29;2;5;0.7417142857142858;0.0
30;2;6;0.7851428571428573;0.0
31;2;7;0.7103928571428572;0.0003214285714285714
32;2;8;0.8562142857142857;0.7864285714285714
33;2;9;1.254857142857143;1.2762142857142857
34;2;10;1.3390357142857143;1.6310357142857144
35;2;11;1.3416785714285715;1.8909642857142859
36;2;12;1.445;2.0850714285714287
37;2;13;1.3879285714285714;2.1341428571428573
38;2;14;1.5075357142857142;1.99025
39;2;15;1.6878214285714286;1.5459999999999998
40;2;16;1.7241071428571428;0.9148571428571428
41;2;17;1.4655357142857142;0.15675
42;2;18;1.3219999999999998;0.0
43;2;19;1.4142142857142856;0.0
44;2;20;1.4404642857142858;0.0
45;2;21;1.8387142857142857;0.0
46;2;22;1.9872142857142858;0.0
47;2;23;2.2086071428571428;0.0
48;3;0;1.4205806451612901;0.0
49;3;1;1.1638709677419354;0.0
50;3;2;0.8603870967741936;0.0
51;3;3;0.6648709677419355;0.0
52;3;4;0.5770000000000001;0.0
53;3;5;0.6001612903225807;0.0
54;3;6;0.5847096774193549;0.0
55;3;7;0.610258064516129;0.27903225806451615
56;3;8;0.6401935483870967;0.9616129032258064
57;3;9;0.9057419354838709;1.4398709677419352
58;3;10;1.0649354838709677;1.897032258064516
59;3;11;1.0090322580645161;2.1180967741935484
60;3;12;1.3621935483870968;1.9914516129032258
61;3;13;1.4084838709677419;1.9464193548387096
62;3;14;1.7095806451612903;1.7845806451612904
63;3;15;1.6411290322580645;1.4147096774193548
64;3;16;1.6774193548387097;0.9177096774193549
65;3;17;1.340774193548387;0.3425161290322581
66;3;18;1.2413548387096773;0.005935483870967742
67;3;19;1.168;0.0
68;3;20;1.3014838709677419;0.0
69;3;21;1.4448387096774193;0.0
70;3;22;1.5750322580645162;0.0
71;3;23;1.5136129032258065;0.0
72;4;0;1.1832;0.0
73;4;1;1.0395999999999999;0.0
74;4;2;0.8913333333333333;0.0
75;4;3;0.6155666666666666;0.0
76;4;4;0.6480999999999999;0.0
77;4;5;0.5471333333333334;0.0
78;4;6;0.6061;0.09266666666666667
79;4;7;0.6225333333333333;0.6701666666666667
80;4;8;0.5926333333333333;1.2527000000000001
81;4;9;0.8370333333333334;1.6675666666666666
82;4;10;1.1219999999999999;2.131466666666667
83;4;11;1.0876666666666668;2.3381666666666665
84;4;12;1.0571;2.4846
85;4;13;1.1404666666666665;1.9334333333333333
86;4;14;1.4393333333333334;1.7726666666666666
87;4;15;1.3198;1.3281333333333334
88;4;16;1.2770666666666666;0.9541666666666667
89;4;17;0.9315666666666667;0.436
90;4;18;1.022;0.083
91;4;19;0.9696333333333332;0.0
92;4;20;0.8733333333333333;0.0
93;4;21;1.0279666666666667;0.0
94;4;22;1.3802999999999999;0.0
95;4;23;1.2940666666666667;0.0
96;5;0;0.7590967741935484;0.0
97;5;1;0.7760967741935484;0.0
98;5;2;0.5481290322580645;0.0
99;5;3;0.44461290322580643;0.0
100;5;4;0.4601290322580645;0.0
101;5;5;0.43487096774193545;0.000967741935483871
102;5;6;0.3853870967741935;0.3004193548387097
103;5;7;0.4748064516129032;0.9840000000000001
