Month;Substraction;Energy_production;Energy_consumption;Self_consumption_ratio
1;62,296;339,263;1415,847;0,82
2;134,248;406,799;906,585;0,67
3;183,876;486,213;852,055;0,62
4;257,803;547,42;705,766;0,53
5;427,879;686,054;519,467;0,38
6;459,641;730,039;526,762;0,37
7;432,202;730,135;716,291;0,41
8;473,603;679,425;460,128;0,3
9;365,83;581,025;461,095;0,37
10;296,037;487,095;466,312;0,39
11;113,478;306,086;677,875;0,63
12;108,465;317,364;890,352;0,66
