;Month;Hour;Energy_consumption;Energy_production
0;1;0;2.7625806451612904;0.0
1;1;1;2.05558064516129;0.0
2;1;2;1.3654193548387097;0.0
3;1;3;1.1689032258064516;0.0
4;1;4;1.1873548387096775;0.0
5;1;5;1.1612258064516128;0.0
6;1;6;1.1669354838709676;0.0
7;1;7;1.2832903225806451;0.0
8;1;8;1.2765161290322582;0.3881612903225806
9;1;9;1.5653548387096774;1.0126451612903227
10;1;10;1.8533548387096774;1.4090967741935485
11;1;11;1.7638709677419355;1.651483870967742
12;1;12;1.8819354838709677;1.7879677419354838
13;1;13;1.9633870967741935;1.6882903225806454
14;1;14;2.1790645161290323;1.4340322580645162
15;1;15;2.2637741935483873;1.1013225806451612
16;1;16;2.338451612903226;0.4706451612903226
17;1;17;2.213225806451613;0.0003225806451612903
18;1;18;2.102516129032258;0.0
19;1;19;2.075290322580645;0.0
20;1;20;2.1469032258064518;0.0
21;1;21;2.3326451612903223;0.0
22;1;22;2.7878064516129033;0.0
23;1;23;2.7770967741935486;0.0
24;2;0;2.0515;0.0
25;2;1;1.3747857142857143;0.0
26;2;2;0.9626785714285714;0.0
27;2;3;0.8002857142857144;0.0
28;2;4;0.7306071428571429;0.0
29;2;5;0.7417142857142858;0.0
30;2;6;0.7851428571428573;0.0
31;2;7;0.7103928571428572;0.00035714285714285714
32;2;8;0.8562142857142857;0.7253571428571428
33;2;9;1.254857142857143;1.2538214285714286
34;2;10;1.3390357142857143;1.6409642857142859
35;2;11;1.3416785714285715;1.9149642857142857
36;2;12;1.445;2.1236785714285715
37;2;13;1.3879285714285714;2.177785714285714
38;2;14;1.5075357142857142;2.029857142857143
39;2;15;1.6878214285714286;1.5740357142857142
40;2;16;1.7241071428571428;0.9263571428571428
41;2;17;1.4655357142857142;0.16135714285714284
42;2;18;1.3219999999999998;0.0
43;2;19;1.4142142857142856;0.0
44;2;20;1.4404642857142858;0.0
45;2;21;1.8387142857142857;0.0
46;2;22;1.9872142857142858;0.0
47;2;23;2.2086071428571428;0.0
48;3;0;1.4205806451612901;0.0
49;3;1;1.1638709677419354;0.0
50;3;2;0.8603870967741936;0.0
51;3;3;0.6648709677419355;0.0
52;3;4;0.5770000000000001;0.0
53;3;5;0.6001612903225807;0.0
54;3;6;0.5847096774193549;0.0
55;3;7;0.610258064516129;0.26706451612903226
56;3;8;0.6401935483870967;0.9536774193548387
57;3;9;0.9057419354838709;1.4646129032258064
58;3;10;1.0649354838709677;1.9481935483870967
59;3;11;1.0090322580645161;2.1952903225806453
60;3;12;1.3621935483870968;2.077225806451613
61;3;13;1.4084838709677419;2.036451612903226
62;3;14;1.7095806451612903;1.8706774193548388
63;3;15;1.6411290322580645;1.4959677419354838
64;3;16;1.6774193548387097;0.980225806451613
65;3;17;1.340774193548387;0.3881935483870968
66;3;18;1.2413548387096773;0.006709677419354838
67;3;19;1.168;0.0
68;3;20;1.3014838709677419;0.0
69;3;21;1.4448387096774193;0.0
70;3;22;1.5750322580645162;0.0
71;3;23;1.5136129032258065;0.0
72;4;0;1.1832;0.0
73;4;1;1.0395999999999999;0.0
74;4;2;0.8913333333333333;0.0
75;4;3;0.6155666666666666;0.0
76;4;4;0.6480999999999999;0.0
77;4;5;0.5471333333333334;0.0
78;4;6;0.6061;0.09836666666666667
79;4;7;0.6225333333333333;0.6925666666666667
80;4;8;0.5926333333333333;1.3056666666666668
81;4;9;0.8370333333333334;1.7481
82;4;10;1.1219999999999999;2.2417000000000002
83;4;11;1.0876666666666668;2.465333333333333
84;4;12;1.0571;2.629833333333333
85;4;13;1.1404666666666665;2.0622
86;4;14;1.4393333333333334;1.9036333333333333
87;4;15;1.3198;1.4399000000000002
88;4;16;1.2770666666666666;1.0582333333333334
89;4;17;0.9315666666666667;0.5144666666666666
90;4;18;1.022;0.08733333333333333
91;4;19;0.9696333333333332;0.0
92;4;20;0.8733333333333333;0.0
93;4;21;1.0279666666666667;0.0
94;4;22;1.3802999999999999;0.0
95;4;23;1.2940666666666667;0.0
96;5;0;0.7590967741935484;0.0
97;5;1;0.7760967741935484;0.0
98;5;2;0.5481290322580645;0.0
99;5;3;0.44461290322580643;0.0
100;5;4;0.4601290322580645;0.0
101;5;5;0.43487096774193545;0.0011935483870967741
102;5;6;0.3853870967741935;0.33725806451612905
103;5;7;0.4748064516129032;1.054516129032258
104;5;8;0.4449032258064516;1.5936451612903226
105;5;9;0.7747419354838709;2.1951290322580648
106;5;10;0.5698387096774193;2.6110645161290322
107;5;11;0.6882903225806452;2.7193870967741938
108;5;12;0.8435483870967742;2.7766774193548387
109;5;13;0.9444516129032258;2.5839677419354836
110;5;14;1.242774193548387;2.373483870967742
111;5;15;1.041483870967742;1.810258064516129
112;5;16;0.938258064516129;1.280258064516129
113;5;17;0.6497096774193549;0.652
114;5;18;0.6595483870967741;0.13790322580645162
115;5;19;0.7730645161290323;0.004032258064516129
116;5;20;0.7095806451612903;0.0
117;5;21;0.6565806451612903;0.0
118;5;22;0.718;0.0
119;5;23;0.8190967741935483;0.0
120;6;0;0.6991666666666666;0.0
121;6;1;0.6588333333333334;0.0
122;6;2;0.47609999999999997;0.0
123;6;3;0.43556666666666666;0.0
124;6;4;0.5039333333333333;0.0
125;6;5;0.5342;0.019366666666666664
126;6;6;0.48059999999999997;0.41456666666666664
127;6;7;0.4562;1.1429333333333331
128;6;8;0.6093333333333334;1.8108666666666666
129;6;9;0.7501333333333334;2.3577
130;6;10;0.6757666666666666;2.646333333333333
131;6;11;0.8926333333333333;2.9366
