Month;Substraction;Energy_production;Energy_consumption;Self_consumption_ratio
1;66,827;346,697;1415,847;0,81
2;133,311;403,537;906,585;0,67
3;173,143;468,068;852,055;0,63
4;232,275;514,342;705,766;0,55
5;379,632;633,598;519,467;0,4
6;403,684;667,09;526,762;0,39
7;380,825;669,45;716,291;0,43
8;431,84499999999997;634,918;460,128;0,32
9;343,69599999999997;555,36;461,095;0,38
10;289,639;479,182;466,312;0,4
11;115,976;307,576;677,875;0,62
12;116,347;326,27;890,352;0,64
