Datetime;Energy;Month;Day;Hour
2022-01-07;1,56;1;7;20
2022-01-07;2,193;1;7;21
2022-01-07;3,389;1;7;22
2022-01-07;3,571;1;7;23
2022-01-07;3,74;1;7;24
2022-01-08;3,054;1;8;1
2022-01-08;1,587;1;8;2
2022-01-08;0,935;1;8;3
2022-01-08;1,109;1;8;4
2022-01-08;0,905;1;8;5
2022-01-08;1,171;1;8;6
2022-01-08;0,863;1;8;7
2022-01-08;1,278;1;8;8
2022-01-08;1,715;1;8;9
2022-01-08;2,688;1;8;10
2022-01-08;1,351;1;8;11
2022-01-08;4,853;1;8;12
2022-01-08;5,358;1;8;13
2022-01-08;5,561;1;8;14
2022-01-08;4,325;1;8;15
2022-01-08;3,415;1;8;16
2022-01-08;3,476;1;8;17
2022-01-08;3,137;1;8;18
2022-01-08;2,979;1;8;19
2022-01-08;3,575;1;8;20
2022-01-08;3,476;1;8;21
2022-01-08;4,12;1;8;22
2022-01-08;4,148;1;8;23
2022-01-08;4,2;1;8;24
2022-01-09;1,695;1;9;1
2022-01-09;1,577;1;9;2
2022-01-09;1,44;1;9;3
2022-01-09;1,662;1;9;4
2022-01-09;1,512;1;9;5
2022-01-09;1,411;1;9;6
2022-01-09;1,7;1;9;7
2022-01-09;1,477;1;9;8
2022-01-09;1,98;1;9;9
2022-01-09;1,629;1;9;10
2022-01-09;1,714;1;9;11
2022-01-09;1,535;1;9;12
2022-01-09;1,698;1;9;13
2022-01-09;1,82;1;9;14
2022-01-09;2,545;1;9;15
2022-01-09;1,828;1;9;16
2022-01-09;1,741;1;9;17
2022-01-09;2,984;1;9;18
2022-01-09;3,322;1;9;19
2022-01-09;2,798;1;9;20
2022-01-09;2,752;1;9;21
2022-01-09;3,028;1;9;22
2022-01-09;2,908;1;9;23
2022-01-09;4,181;1;9;24
2022-01-10;2,531;1;10;1
2022-01-10;1,015;1;10;2
2022-01-10;0,715;1;10;3
2022-01-10;0,921;1;10;4
2022-01-10;1,064;1;10;5
2022-01-10;0,898;1;10;6
2022-01-10;1,019;1;10;7
2022-01-10;1,01;1;10;8
2022-01-10;1,628;1;10;9
2022-01-10;1,191;1;10;10
2022-01-10;0,88;1;10;11
2022-01-10;0,658;1;10;12
2022-01-10;1,869;1;10;13
2022-01-10;1,644;1;10;14
