CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0021000004500478JL;05/01/2022;11;2,576;R
ES0021000004500478JL;05/01/2022;12;1,802;R
ES0021000004500478JL;05/01/2022;13;1,324;R
ES0021000004500478JL;05/01/2022;14;1,546;R
ES0021000004500478JL;05/01/2022;15;2,186;R
ES0021000004500478JL;05/01/2022;16;2,069;R
ES0021000004500478JL;05/01/2022;17;2,689;R
ES0021000004500478JL;05/01/2022;18;2,564;R
ES0021000004500478JL;05/01/2022;19;2,248;R
ES0021000004500478JL;05/01/2022;20;1,997;R
ES0021000004500478JL;05/01/2022;21;1,696;R
ES0021000004500478JL;05/01/2022;22;1,861;R
ES0021000004500478JL;05/01/2022;23;2,160;R
ES0021000004500478JL;05/01/2022;24;1,801;R
ES0021000004500478JL;06/01/2022;1;1,596;R
ES0021000004500478JL;06/01/2022;2;1,710;R
ES0021000004500478JL;06/01/2022;3;1,655;R
ES0021000004500478JL;06/01/2022;4;1,761;R
ES0021000004500478JL;06/01/2022;5;1,667;R
ES0021000004500478JL;06/01/2022;6;1,379;R
ES0021000004500478JL;06/01/2022;7;1,111;R
ES0021000004500478JL;06/01/2022;8;1,453;R
ES0021000004500478JL;06/01/2022;9;1,428;R
ES0021000004500478JL;06/01/2022;10;1,432;R
ES0021000004500478JL;06/01/2022;11;1,639;R
ES0021000004500478JL;06/01/2022;12;1,066;R
ES0021000004500478JL;06/01/2022;13;2,755;R
ES0021000004500478JL;06/01/2022;14;3,498;R
ES0021000004500478JL;06/01/2022;15;3,265;R
ES0021000004500478JL;06/01/2022;16;2,800;R
ES0021000004500478JL;06/01/2022;17;3,263;R
ES0021000004500478JL;06/01/2022;18;3,367;R
ES0021000004500478JL;06/01/2022;19;2,795;R
ES0021000004500478JL;06/01/2022;20;2,786;R
ES0021000004500478JL;06/01/2022;21;3,692;R
ES0021000004500478JL;06/01/2022;22;3,237;R
ES0021000004500478JL;06/01/2022;23;2,946;R
ES0021000004500478JL;06/01/2022;24;2,488;R
ES0021000004500478JL;07/01/2022;1;2,537;R
ES0021000004500478JL;07/01/2022;2;1,190;R
ES0021000004500478JL;07/01/2022;3;0,694;R
ES0021000004500478JL;07/01/2022;4;0,826;R
ES0021000004500478JL;07/01/2022;5;0,926;R
ES0021000004500478JL;07/01/2022;6;1,241;R
ES0021000004500478JL;07/01/2022;7;0,890;R
ES0021000004500478JL;07/01/2022;8;1,040;R
ES0021000004500478JL;07/01/2022;9;1,651;R
ES0021000004500478JL;07/01/2022;10;2,214;R
ES0021000004500478JL;07/01/2022;11;1,301;R
ES0021000004500478JL;07/01/2022;12;0,980;R
ES0021000004500478JL;07/01/2022;13;0,686;R
ES0021000004500478JL;07/01/2022;14;1,700;R
ES0021000004500478JL;07/01/2022;15;1,158;R
ES0021000004500478JL;07/01/2022;16;1,518;R
ES0021000004500478JL;07/01/2022;17;1,428;R
ES0021000004500478JL;07/01/2022;18;1,704;R
ES0021000004500478JL;07/01/2022;19;1,842;R
ES0021000004500478JL;07/01/2022;20;1,560;R
ES0021000004500478JL;07/01/2022;21;2,193;R
ES0021000004500478JL;07/01/2022;22;3,389;R
ES0021000004500478JL;07/01/2022;23;3,571;R
ES0021000004500478JL;07/01/2022;24;3,740;R
ES0021000004500478JL;08/01/2022;1;3,054;R
ES0021000004500478JL;08/01/2022;2;1,587;R
ES0021000004500478JL;08/01/2022;3;0,935;R
ES0021000004500478JL;08/01/2022;4;1,109;R
ES0021000004500478JL;08/01/2022;5;0,905;R
ES0021000004500478JL;08/01/2022;6;1,171;R
ES0021000004500478JL;08/01/2022;7;0,863;R
ES0021000004500478JL;08/01/2022;8;1,278;R
ES0021000004500478JL;08/01/2022;9;1,715;R
ES0021000004500478JL;08/01/2022;10;2,688;R
ES0021000004500478JL;08/01/2022;11;1,351;R
ES0021000004500478JL;08/01/2022;12;4,853;R
ES0021000004500478JL;08/01/2022;13;5,358;R
ES0021000004500478JL;08/01/2022;14;5,561;R
ES0021000004500478JL;08/01/2022;15;4,325;R
ES0021000004500478JL;08/01/2022;16;3,415;R
ES0021000004500478JL;08/01/2022;17;3,476;R
ES0021000004500478JL;08/01/2022;18;3,137;R
ES0021000004500478JL;08/01/2022;19;2,979;R
ES0021000004500478JL;08/01/2022;20;3,575;R
ES0021000004500478JL;08/01/2022;21;3,476;R
ES0021000004500478JL;08/01/2022;22;4,120;R
ES0021000004500478JL;08/01/2022;23;4,148;R
ES0021000004500478JL;08/01/2022;24;4,200;R
ES0021000004500478JL;09/01/2022;1;1,695;R
ES0021000004500478JL;09/01/2022;2;1,577;R
ES0021000004500478JL;09/01/2022;3;1,440;R
ES0021000004500478JL;09/01/2022;4;1,662;R
ES0021000004500478JL;09/01/2022;5;1,512;R
ES0021000004500478JL;09/01/2022;6;1,411;R
ES0021000004500478JL;09/01/2022;7;1,700;R
ES0021000004500478JL;09/01/2022;8;1,477;R
ES0021000004500478JL;09/01/2022;9;1,980;R
ES0021000004500478JL;09/01/2022;10;1,629;R
ES0021000004500478JL;09/01/2022;11;1,714;R
ES0021000004500478JL;09/01/2022;12;1,535;R
ES0021000004500478JL;09/01/2022;13;1,698;R
ES0021000004500478JL;09/01/2022;14;1,820;R
ES0021000004500478JL;09/01/2022;15;2,545;R
ES0021000004500478JL;09/01/2022;16;1,828;R
ES0021000004500478JL;09/01/2022;17;1,741;R
ES0021000004500478JL;09/01/2022;18;2,984;R
ES0021000004500478JL;09/01/2022;19;3,322;R
ES0021000004500478JL;09/01/2022;20;2,798;R
ES0021000004500478JL;09/01/2022;21;2,752;R
ES0021000004500478JL;09/01/2022;22;3,028;R
ES0021000004500478JL;09/01/2022;23;2,908;R
ES0021000004500478JL;09/01/2022;24;4,181;R
ES0021000004500478JL;10/01/2022;1;2,531;R
ES0021000004500478JL;10/01/2022;2;1,015;R
ES0021000004500478JL;10/01/2022;3;0,715;R
ES0021000004500478JL;10/01/2022;4;0,921;R
ES0021000004500478JL;10/01/2022;5;1,064;R
ES0021000004500478JL;10/01/2022;6;0,898;R
ES0021000004500478JL;10/01/2022;7;1,019;R
ES0021000004500478JL;10/01/2022;8;1,010;R
ES0021000004500478JL;10/01/2022;9;1,628;R
ES0021000004500478JL;10/01/2022;10;1,191;R
ES0021000004500478JL;10/01/2022;11;0,880;R
ES0021000004500478JL;10/01/2022;12;0,658;R
ES0021000004500478JL;10/01/2022;13;1,869;R
ES0021000004500478JL;10/01/2022;14;1,644;R
ES0021000004500478JL;10/01/2022;15;1,913;R
ES0021000004500478JL;10/01/2022;16;1,775;R
ES0021000004500478JL;10/01/2022;17;2,361;R
ES0021000004500478JL;10/01/2022;18;1,706;R
ES0021000004500478JL;10/01/2022;19;1,460;R
ES0021000004500478JL;10/01/2022;20;1,610;R
ES0021000004500478JL;10/01/2022;21;1,744;R
ES0021000004500478JL;10/01/2022;22;1,831;R
ES0021000004500478JL;10/01/2022;23;2,088;R
ES0021000004500478JL;10/01/2022;24;1,496;R
ES0021000004500478JL;11/01/2022;1;0,984;R
ES0021000004500478JL;11/01/2022;2;0,563;R
ES0021000004500478JL;11/01/2022;3;0,865;R
ES0021000004500478JL;11/01/2022;4;0,833;R
ES0021000004500478JL;11/01/2022;5;0,821;R
ES0021000004500478JL;11/01/2022;6;0,818;R
ES0021000004500478JL;11/01/2022;7;0,825;R
ES0021000004500478JL;11/01/2022;8;0,885;R
ES0021000004500478JL;11/01/2022;9;1,038;R
ES0021000004500478JL;11/01/2022;10;1,342;R
ES0021000004500478JL;11/01/2022;11;1,222;R
ES0021000004500478JL;11/01/2022;12;1,091;R
ES0021000004500478JL;11/01/2022;13;1,238;R
ES0021000004500478JL;11/01/2022;14;1,482;R
ES0021000004500478JL;11/01/2022;15;1,319;R
ES0021000004500478JL;11/01/2022;16;2,070;R
ES0021000004500478JL;11/01/2022;17;1,128;R
ES0021000004500478JL;11/01/2022;18;1,454;R
ES0021000004500478JL;11/01/2022;19;2,179;R
ES0021000004500478JL;11/01/2022;20;2,082;R
ES0021000004500478JL;11/01/2022;21;2,012;R
ES0021000004500478JL;11/01/2022;22;2,021;R
ES0021000004500478JL;11/01/2022;23;2,337;R
ES0021000004500478JL;11/01/2022;24;1,937;R
ES0021000004500478JL;12/01/2022;1;1,607;R
ES0021000004500478JL;12/01/2022;2;0,642;R
ES0021000004500478JL;12/01/2022;3;0,784;R
ES0021000004500478JL;12/01/2022;4;0,973;R
ES0021000004500478JL;12/01/2022;5;0,865;R
ES0021000004500478JL;12/01/2022;6;0,852;R
ES0021000004500478JL;12/01/2022;7;0,960;R
ES0021000004500478JL;12/01/2022;8;0,969;R
ES0021000004500478JL;12/01/2022;9;1,948;R
ES0021000004500478JL;12/01/2022;10;1,781;R
ES0021000004500478JL;12/01/2022;11;1,101;R
ES0021000004500478JL;12/01/2022;12;1,894;R
ES0021000004500478JL;12/01/2022;13;1,451;R
ES0021000004500478JL;12/01/2022;14;1,502;R
ES0021000004500478JL;12/01/2022;15;1,639;R
ES0021000004500478JL;12/01/2022;16;1,751;R
ES0021000004500478JL;12/01/2022;17;1,985;R
ES0021000004500478JL;12/01/2022;18;1,499;R
ES0021000004500478JL;12/01/2022;19;1,824;R
ES0021000004500478JL;12/01/2022;20;1,727;R
ES0021000004500478JL;12/01/2022;21;2,184;R
ES0021000004500478JL;12/01/2022;22;2,336;R
