CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0021000003073076YC;06/01/2023;2;2,184;R
ES0021000003073076YC;06/01/2023;3;2,673;R
ES0021000003073076YC;06/01/2023;4;2,568;R
ES0021000003073076YC;06/01/2023;5;2,453;R
ES0021000003073076YC;06/01/2023;6;0,918;R
ES0021000003073076YC;06/01/2023;7;1,512;R
ES0021000003073076YC;06/01/2023;8;0,386;R
ES0021000003073076YC;06/01/2023;9;0,319;R
ES0021000003073076YC;06/01/2023;10;0,433;R
ES0021000003073076YC;06/01/2023;11;0,568;R
ES0021000003073076YC;06/01/2023;12;0,452;R
ES0021000003073076YC;06/01/2023;13;0,269;R
ES0021000003073076YC;06/01/2023;14;0,263;R
ES0021000003073076YC;06/01/2023;15;0,330;R
ES0021000003073076YC;06/01/2023;16;0,285;R
ES0021000003073076YC;06/01/2023;17;0,300;R
ES0021000003073076YC;06/01/2023;18;0,411;R
ES0021000003073076YC;06/01/2023;19;0,553;R
ES0021000003073076YC;06/01/2023;20;0,666;R
ES0021000003073076YC;06/01/2023;21;0,656;R
ES0021000003073076YC;06/01/2023;22;1,092;R
ES0021000003073076YC;06/01/2023;23;0,792;R
ES0021000003073076YC;06/01/2023;24;0,515;R
ES0021000003073076YC;07/01/2023;1;0,509;R
ES0021000003073076YC;07/01/2023;2;1,848;R
ES0021000003073076YC;07/01/2023;3;2,686;R
ES0021000003073076YC;07/01/2023;4;2,678;R
ES0021000003073076YC;07/01/2023;5;2,575;R
ES0021000003073076YC;07/01/2023;6;1,107;R
ES0021000003073076YC;07/01/2023;7;0,377;R
ES0021000003073076YC;07/01/2023;8;0,366;R
ES0021000003073076YC;07/01/2023;9;0,329;R
ES0021000003073076YC;07/01/2023;10;0,338;R
ES0021000003073076YC;07/01/2023;11;0,577;R
ES0021000003073076YC;07/01/2023;12;1,159;R
ES0021000003073076YC;07/01/2023;13;0,912;R
ES0021000003073076YC;07/01/2023;14;0,761;R
ES0021000003073076YC;07/01/2023;15;0,690;R
ES0021000003073076YC;07/01/2023;16;1,058;R
ES0021000003073076YC;07/01/2023;17;0,631;R
ES0021000003073076YC;07/01/2023;18;1,887;R
ES0021000003073076YC;07/01/2023;19;0,942;R
ES0021000003073076YC;07/01/2023;20;0,721;R
ES0021000003073076YC;07/01/2023;21;1,978;R
ES0021000003073076YC;07/01/2023;22;0,913;R
ES0021000003073076YC;07/01/2023;23;0,635;R
ES0021000003073076YC;07/01/2023;24;0,677;R
ES0021000003073076YC;08/01/2023;1;0,503;R
ES0021000003073076YC;08/01/2023;2;2,031;R
ES0021000003073076YC;08/01/2023;3;2,649;R
ES0021000003073076YC;08/01/2023;4;2,618;R
ES0021000003073076YC;08/01/2023;5;2,565;R
ES0021000003073076YC;08/01/2023;6;0,867;R
ES0021000003073076YC;08/01/2023;7;0,347;R
ES0021000003073076YC;08/01/2023;8;0,339;R
ES0021000003073076YC;08/01/2023;9;0,301;R
ES0021000003073076YC;08/01/2023;10;0,381;R
ES0021000003073076YC;08/01/2023;11;0,810;R
ES0021000003073076YC;08/01/2023;12;1,059;R
ES0021000003073076YC;08/01/2023;13;1,544;R
ES0021000003073076YC;08/01/2023;14;1,278;R
ES0021000003073076YC;08/01/2023;15;2,353;R
ES0021000003073076YC;08/01/2023;16;0,967;R
ES0021000003073076YC;08/01/2023;17;1,698;R
ES0021000003073076YC;08/01/2023;18;1,420;R
ES0021000003073076YC;08/01/2023;19;0,601;R
ES0021000003073076YC;08/01/2023;20;0,763;R
ES0021000003073076YC;08/01/2023;21;0,804;R
ES0021000003073076YC;08/01/2023;22;0,925;R
ES0021000003073076YC;08/01/2023;23;1,503;R
ES0021000003073076YC;08/01/2023;24;0,713;R
ES0021000003073076YC;09/01/2023;1;0,449;R
ES0021000003073076YC;09/01/2023;2;0,455;R
ES0021000003073076YC;09/01/2023;3;0,402;R
ES0021000003073076YC;09/01/2023;4;0,436;R
ES0021000003073076YC;09/01/2023;5;0,371;R
ES0021000003073076YC;09/01/2023;6;0,328;R
ES0021000003073076YC;09/01/2023;7;0,509;R
ES0021000003073076YC;09/01/2023;8;0,396;R
ES0021000003073076YC;09/01/2023;9;0,371;R
ES0021000003073076YC;09/01/2023;10;0,342;R
ES0021000003073076YC;09/01/2023;11;0,368;R
ES0021000003073076YC;09/01/2023;12;0,407;R
ES0021000003073076YC;09/01/2023;13;0,352;R
ES0021000003073076YC;09/01/2023;14;0,506;R
ES0021000003073076YC;09/01/2023;15;0,545;R
ES0021000003073076YC;09/01/2023;16;0,603;R
ES0021000003073076YC;09/01/2023;17;0,473;R
ES0021000003073076YC;09/01/2023;18;1,112;R
ES0021000003073076YC;09/01/2023;19;1,017;R
ES0021000003073076YC;09/01/2023;20;0,547;R
ES0021000003073076YC;09/01/2023;21;0,482;R
ES0021000003073076YC;09/01/2023;22;1,149;R
ES0021000003073076YC;09/01/2023;23;0,667;R
ES0021000003073076YC;09/01/2023;24;0,650;R
ES0021000003073076YC;10/01/2023;1;0,658;R
ES0021000003073076YC;10/01/2023;2;0,446;R
ES0021000003073076YC;10/01/2023;3;0,445;R
ES0021000003073076YC;10/01/2023;4;0,438;R
ES0021000003073076YC;10/01/2023;5;0,529;R
ES0021000003073076YC;10/01/2023;6;0,423;R
ES0021000003073076YC;10/01/2023;7;0,459;R
ES0021000003073076YC;10/01/2023;8;0,422;R
ES0021000003073076YC;10/01/2023;9;0,320;R
ES0021000003073076YC;10/01/2023;10;0,364;R
