Month;Substraction;Energy_production;Energy_consumption;Self_consumption_ratio
1;15,376999999999999;221,262;1415,847;0,93
2;59,008;306,106;906,585;0,81
3;121,199;416,887;852,055;0,71
4;222,004;514,444;705,766;0,57
5;415,407;682,045;519,467;0,39
6;461,63;743,533;526,762;0,38
7;423,23;735,052;716,291;0,42
8;437,24;648,21;460,128;0,33
9;295,495;510,85699999999997;461,095;0,42
10;199,987;382,026;466,312;0,48
11;50,951;217,67;677,875;0,77
12;36,589;200,455;890,352;0,82
